2022-10-18,02.509.491/0001-26,CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA,Debênture,ECOV22,IPCA,IPCA+,100.00,2024-04-15
2022-10-18,02.509.491/0001-26,CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA,Debênture,ECOV_D22,IPCA,IPCA+,100.00,2024-04-15
2022-10-18,02.509.491/0001-26,CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA,Debênture,ECOV14,CDI,CDI+,100.00,2024-04-17
2022-10-18,02.558.157/0001-62,TELEFÔNICA BRASIL S.A.,Debênture,TLPP17,CDI,CDI+,100.00,2025-07-12
2022-10-18,02.558.157/0001-62,TELEFÔNICA BRASIL S.A.,Debênture,TLPP27,CDI,CDI+,100.00,2027-07-12
2022-10-18,02.558.157/0001-62,TELEFÔNICA BRASIL S.A.,Debênture,BRVIVTDBS0A8,CDI,CDI+,100.00,2025-07-12
2022-10-18,02.558.157/0001-62,TELEFÔNICA BRASIL S.A.,Debênture,BRVIVTDBS0B6,CDI,CDI+,100.00,2025-07-12
2022-10-18,02.919.555/0001-67,ARTERIS S.A.,Debênture,ARTR35,IPCA,IPCA+,100.00,2024-10-15
2022-10-18,02.919.555/0001-67,ARTERIS S.A.,Debênture,ARTR29,CDI,CDI+,100.00,2025-09-15
2022-10-18,02.919.555/0001-67,ARTERIS S.A.,Debênture,ARTR19,IPCA,IPCA+,100.00,2027-09-15
2022-10-18,02.919.555/0001-67,ARTERIS S.A.,Debênture,BRARTRDBS047,IPCA,IPCA+,100.00,2024-10-15
2022-10-18,02.919.555/0001-67,ARTERIS S.A.,Debênture,ARTRA1,CDI,CDI+,100.00,2027-03-11
2022-10-18,02.932.074/0001-91,HYPERA S/A,Debênture,HYPE18,CDI,CDI+,100.00,2025-11-28
2022-10-18,02.932.074/0001-91,HYPERA S/A,Debênture,HYPE19,CDI,CDI+,100.00,2026-04-03
2022-10-18,02.932.074/0001-91,HYPERA S/A,Debênture,HYPEA0,CDI,CDI+,100.00,2025-09-01
2022-10-18,02.932.074/0001-91,HYPERA S/A,Debênture,HYPEB0,CDI,CDI+,100.00,2025-09-01
2022-10-18,02.932.074/0001-91,HYPERA S/A,Debênture,HYPEA1,CDI,CDI+,100.00,2026-09-09
2022-10-18,02.932.074/0001-91,HYPERA S/A,Debênture,HYPEA2,CDI,CDI+,100.00,2027-02-04
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,CTEE15,IPCA,IPCA+,100.00,2024-02-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,CTEE17,IPCA,IPCA+,100.00,2025-04-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,CTEE18,IPCA,IPCA+,100.00,2029-12-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,CTEE19,CDI,CDI+,100.00,2028-11-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,CTEE29,IPCA,IPCA+,100.00,2044-05-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,CTEEA0,IPCA,IPCA+,100.00,2044-07-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,CTEE1B,IPCA,IPCA+,100.00,2031-10-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,CTEE2B,IPCA,IPCA+,100.00,2039-10-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,BRTRPLDBS097,IPCA,IPCA+,100.00,2034-08-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,BRTRPLDBS0A7,IPCA,IPCA+,100.00,2029-08-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,BRTRPLDBS0B5,IPCA,IPCA+,100.00,2034-08-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,CTEEA2,CDI,CDI+,100.00,2029-04-15
2022-10-18,02.998.611/0001-04,CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA,Debênture,BRTRPLDBS0J8,CDI,CDI+,100.00,2032-04-15
2022-10-18,03.016.682/0001-19,CLINICA MÉDICA VITA S.A,Debênture,VITA11,IGPM,Outros,100.00,0000-00-00
2022-10-18,03.016.682/0001-19,CLINICA MÉDICA VITA S.A,Debênture,VITA21,IGPM,Outros,100.00,
2022-10-18,03.016.682/0001-19,CLINICA MÉDICA VITA S.A,Debênture,VITA31,IGPM,Outros,100.00,
2022-10-18,03.016.682/0001-19,CLINICA MÉDICA VITA S.A,Debênture,VITA41,IGPM,Outros,100.00,
2022-10-18,03.016.682/0001-19,CLINICA MÉDICA VITA S.A,Debênture,VITA51,IGPM,Outros,100.00,
2022-10-18,03.016.682/0001-19,CLINICA MÉDICA VITA S.A,Debênture,VITA61,IGPM,Outros,100.00,
2022-10-18,03.585.974/0001-72,ZATIX TECNOLOGIA S/A.,Debênture,ZTIX12,CDI,CDI+,100.00,2026-06-20
2022-10-18,03.953.509/0001-47,CPFL GERAÇÃO DE ENERGIA S/A,Debênture,CPGEB1,CDI,%CDI,107.50,2023-05-18
2022-10-18,03.953.509/0001-47,CPFL GERAÇÃO DE ENERGIA S/A,Debênture,CPFGA2,IPCA,IPCA+,100.00,2031-05-15
2022-10-18,04.149.454/0001-80,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,Debênture,ECOR16,CDI,CDI+,100.00,2027-03-07
2022-10-18,06.272.793/0001-84,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Debênture,ENMA15,TJLP,Outros,100.00,2023-10-11
2022-10-18,06.272.793/0001-84,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Debênture,ENMA25,TJLP,Outros,100.00,2023-10-11
2022-10-18,06.272.793/0001-84,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Debênture,CEMA27,IPCA,IPCA+,100.00,2023-10-15
2022-10-18,06.272.793/0001-84,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Debênture,BREQMADBO009,TJLP,Outros,100.00,2023-10-11
2022-10-18,06.272.793/0001-84,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Debênture,BREQMADBO017,TJLP,Outros,100.00,2023-10-11
2022-10-18,06.272.793/0001-84,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Debênture,EQMA19,CDI,CDI+,100.00,2028-05-15
2022-10-18,06.981.176/0001-58,CEMIG GERAÇÃO E TRANSMISSÃO S/A,Debênture,BRCMGTDBS0C0,CDI,CDI+,100.00,2022-11-08
2022-10-18,06.981.176/0001-58,CEMIG GERAÇÃO E TRANSMISSÃO S/A,Debênture,BRCMGTDBS0D8,CDI,CDI+,100.00,2023-11-08
2022-10-18,06.981.176/0001-58,CEMIG GERAÇÃO E TRANSMISSÃO S/A,Debênture,BRCMGTDBS0E6,CDI,CDI+,100.00,2025-05-08
2022-10-18,07.047.251/0001-70,CIA ENERG CEARA - COELCE,Debênture,CEAR15,CDI,CDI+,100.00,2022-12-15
2022-10-18,07.047.251/0001-70,CIA ENERG CEARA - COELCE,Debênture,CEAR25,IPCA,IPCA+,100.00,2024-12-15
2022-10-18,07.047.251/0001-70,CIA ENERG CEARA - COELCE,Debênture,CEAR16,CDI,CDI+,100.00,2023-06-15
2022-10-18,07.047.251/0001-70,CIA ENERG CEARA - COELCE,Debênture,CEAR26,IPCA,IPCA+,100.00,2025-06-15
2022-10-18,07.047.251/0001-70,CIA ENERG CEARA - COELCE,Debênture,COCE17,CDI,CDI+,100.00,2023-03-15
2022-10-18,07.047.251/0001-70,CIA ENERG CEARA - COELCE,Debênture,COCE27,IPCA,IPCA+,100.00,2024-03-15
2022-10-18,07.047.251/0001-70,CIA ENERG CEARA - COELCE,Debênture,BRCOCEDBS051,IPCA,IPCA+,100.00,2022-12-15
2022-10-18,07.047.251/0001-70,CIA ENERG CEARA - COELCE,Debênture,BRCOCEDBS069,IPCA,IPCA+,100.00,2024-12-15
2022-10-18,07.047.251/0001-70,CIA ENERG CEARA - COELCE,Debênture,COCE18,IPCA,IPCA+,100.00,2032-05-15
2022-10-18,07.332.190/0001-93,VICUNHA TEXTIL SA,Debênture,FNBR12,IGPM,Outros,100.00,0000-00-00
2022-10-18,07.799.081/0001-80,INTEGRACAO TRANSMISSORA DE ENERGIA S/A,Debênture,ITGT11,IPCA,IPCA+,100.00,2025-10-15
2022-10-18,07.799.081/0001-80,INTEGRACAO TRANSMISSORA DE ENERGIA S/A,Debênture,ITGT21,CDI,CDI+,100.00,2025-10-15
2022-10-18,07.799.081/0001-80,INTEGRACAO TRANSMISSORA DE ENERGIA S/A,Debênture,ITGT12,CDI,%CDI,109.00,2024-03-29
2022-10-18,07.799.081/0001-80,INTEGRACAO TRANSMISSORA DE ENERGIA S/A,Debênture,ITGT22,CDI,CDI+,100.00,2026-03-29
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEE33,IPCA,IPCA+,100.00,2024-10-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEE24,IPCA,IPCA+,100.00,2025-10-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAES14,IPCA,IPCA+,100.00,2024-09-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAES15,IPCA,IPCA+,100.00,2025-07-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEE16,CDI,%CDI,108.00,2026-05-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEE26,IPCA,IPCA+,100.00,2044-05-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEE17,IPCA,IPCA+,100.00,2044-09-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEE18,IPCA,IPCA+,100.00,2044-12-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEEA1,CDI,CDI+,100.00,2028-05-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEEA2,IPCA,IPCA+,100.00,2036-05-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,BRTAEEDBS0N1,CDI,CDI+,100.00,2025-01-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,BRTAEEDBS0O9,CDI,CDI+,100.00,2027-12-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEEB2,IPCA,IPCA+,100.00,2029-04-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEEC2,IPCA,IPCA+,100.00,2032-04-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEED2,IPCA,IPCA+,100.00,2037-04-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEEB1,CDI,CDI+,100.00,2025-01-15
2022-10-18,07.859.971/0001-30,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,Debênture,TAEEC1,CDI,CDI+,100.00,2027-01-15
2022-10-18,09.313.969/0001-97,AUTOPISTA LITORAL SUL,Debênture,PLSB1A,IPCA,IPCA+,100.00,2031-10-15
2022-10-18,09.313.969/0001-97,AUTOPISTA LITORAL SUL,Debênture,PLSB2A,CDI,CDI+,100.00,2028-10-15
2022-10-18,09.326.342/0001-70,AUTOPISTA FERNÃO DIAS SA,Debênture,APFD14,IPCA,IPCA+,100.00,2026-09-15
2022-10-18,09.326.342/0001-70,AUTOPISTA FERNÃO DIAS SA,Debênture,APFD19,IPCA,IPCA+,100.00,2031-09-15
2022-10-18,09.387.725/0001-59,CONCESSIONARIA DO RODOANEL OESTE S.A.,Debênture,CROD16,CDI,%CDI,120.00,2024-04-26
2022-10-18,10.923.227/0001-62,BTG PACTUAL HOLDING S.A. ,Debênture,BPAC12,CDI,CDI+,100.00,2023-09-08
2022-10-18,10.923.227/0001-62,BTG PACTUAL HOLDING S.A. ,Debênture,BRBTGHDBS015,CDI,CDI+,100.00,2023-09-09
2022-10-18,19.527.639/0001-58,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Debênture,FLCLA0,IPCA,IPCA+,100.00,2025-09-15
2022-10-18,19.527.639/0001-58,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Debênture,FLCLB1,CDI,CDI+,100.00,2026-06-10
2022-10-18,19.527.639/0001-58,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Debênture,FLCLA1,CDI,CDI+,100.00,2024-06-10
2022-10-18,19.527.639/0001-58,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Debênture,FLCLA2,CDI,CDI+,100.00,2023-02-15
2022-10-18,19.527.639/0001-58,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Debênture,FLCLA3,IPCA,IPCA+,100.00,2030-10-11
2022-10-18,19.527.639/0001-58,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Debênture,FLCLB3,IPCA,IPCA+,100.00,2030-10-11
2022-10-18,19.527.639/0001-58,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRFLCLDBS006,IPCA,IPCA+,100.00,2025-09-15
2022-10-18,19.527.639/0001-58,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRFLCLDBS0A4,IPCA,IPCA+,100.00,2024-10-15
2022-10-18,19.527.639/0001-58,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Debênture,BRFLCLDBS0B2,IPCA,IPCA+,100.00,2027-10-15
2022-10-18,19.527.639/0001-58,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,Debênture,FLCLA4,CDI,CDI+,100.00,2027-08-22
2022-10-18,23.274.194/0001-19,FURNAS-CENTRAIS ELETRICAS S.A. ,Debênture,FURN11,CDI,%CDI,117.60,2024-11-15
2022-10-18,23.274.194/0001-19,FURNAS-CENTRAIS ELETRICAS S.A. ,Debênture,FURN21,IPCA,IPCA+,100.00,2029-11-15
2022-10-18,33.035.536/0001-00,JOAO FORTES ENGENHARIA SA - EM RECUPERAÇÃO JUDICIAL,Debênture,JFEN13,CDI,CDI+,100.00,2022-11-30
2022-10-18,33.050.071/0001-58,AMPLA ENERGIA E SERVIÇOS S.A.,Debênture,AMPLA0,CDI,%CDI,108.00,2024-03-15
2022-10-18,33.050.196/0001-88,COMPANHIA PAULISTA DE FORCA LUZ - CPFL,Debênture,PALF28,IPCA,IPCA+,100.00,2024-09-15
2022-10-18,33.050.196/0001-88,COMPANHIA PAULISTA DE FORCA LUZ - CPFL,Debênture,PALF38,IPCA,IPCA+,100.00,2027-09-15
2022-10-18,33.050.196/0001-88,COMPANHIA PAULISTA DE FORCA LUZ - CPFL,Debênture,PALF10,CDI,%CDI,107.00,2024-05-28
2022-10-18,33.050.196/0001-88,COMPANHIA PAULISTA DE FORCA LUZ - CPFL,Debênture,PALFA1,CDI,CDI+,100.00,2028-12-15
2022-10-18,33.256.439/0001-39,ULTRAPAR PARTICIPAÇÕES SA,Debênture,UGPA16,CDI,%CDI,105.25,2023-03-05
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAM11,CDI,%CDI,100.00,2025-02-01
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAM13,CDI,%CDI,100.00,2025-02-01
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAM14,CDI,%CDI,100.00,2025-02-01
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAM15,CDI,%CDI,100.00,2028-01-02
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAM16,CDI,%CDI,100.00,2026-06-20
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAMA7,CDI,%CDI,100.00,2032-10-15
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BDLS_D11,CDI,%CDI,100.00,2025-02-01
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BDLS_D31,CDI,%CDI,100.00,2025-02-01
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BDLS_D41,CDI,%CDI,100.00,2025-02-01
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BDLS_D51,CDI,%CDI,100.00,2028-01-02
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAMB7,CDI,%CDI,100.00,2032-10-15
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAMC7,CDI,%CDI,100.00,2032-10-15
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAMD7,CDI,%CDI,100.00,2032-10-15
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAME7,CDI,%CDI,100.00,2032-10-15
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAMF7,CDI,%CDI,100.00,2032-10-15
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAMG7,CDI,%CDI,100.00,2032-10-15
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAMH7,CDI,%CDI,100.00,2032-10-15
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAMI7,CDI,%CDI,100.00,2032-10-15
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAMJ7,CDI,%CDI,100.00,2032-10-15
2022-10-18,47.509.120/0001-82,BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL,Debênture,BRAMK7,CDI,%CDI,100.00,2032-10-15
2022-10-18,50.746.577/0001-15,COSAN S.A.,Debênture,RLOG11,CDI,CDI+,100.00,2025-08-25
2022-10-18,50.746.577/0001-15,COSAN S.A.,Debênture,CSAN13,CDI,CDI+,100.00,2028-08-15
2022-10-18,50.746.577/0001-15,COSAN S.A.,Debênture,CSAN23,CDI,CDI+,100.00,2031-08-15
2022-10-18,50.746.577/0001-15,COSAN S.A.,Debênture,CSAN33,IPCA,IPCA+,100.00,2031-08-15
2022-10-18,50.746.577/0001-15,COSAN S.A.,Debênture,CSAN14,CDI,CDI+,100.00,2028-05-05
2022-10-18,50.746.577/0001-15,COSAN S.A.,Debênture,CSAN24,CDI,CDI+,100.00,2032-05-05
2022-10-18,50.746.577/0001-15,COSAN S.A.,Debênture,BRCSANDBS081,CDI,CDI+,100.00,2023-08-15
2022-10-18,60.894.730/0001-05,USINAS SIDERURGICAS DE MINAS GERAIS SA,Debênture,USIM16,CDI,CDI+,100.00,2026-09-15
2022-10-18,60.894.730/0001-05,USINAS SIDERURGICAS DE MINAS GERAIS SA,Debênture,USIM17,CDI,CDI+,100.00,2023-09-30
2022-10-18,60.894.730/0001-05,USINAS SIDERURGICAS DE MINAS GERAIS SA,Debênture,USIM27,CDI,CDI+,100.00,2025-09-30
2022-10-18,60.894.730/0001-05,USINAS SIDERURGICAS DE MINAS GERAIS SA,Debênture,USIM18,CDI,CDI+,100.00,2027-05-23
2022-10-18,60.894.730/0001-05,USINAS SIDERURGICAS DE MINAS GERAIS SA,Debênture,USIM28,CDI,CDI+,100.00,2029-05-23
2022-10-18,60.933.603/0001-78,CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO,Debênture,CESPA1,CDI,CDI+,100.00,2025-12-19
2022-10-18,60.933.603/0001-78,CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO,Debênture,CESPA2,IPCA,IPCA+,100.00,2030-08-15
2022-10-18,61.695.227/0001-93,ELETROPAULO METROPOLITANA EL.S.PAULO S.A,Debênture,ELPLB3,CDI,%CDI,111.00,2023-09-13
2022-10-18,61.695.227/0001-93,ELETROPAULO METROPOLITANA EL.S.PAULO S.A,Debênture,ELPLC3,CDI,CDI+,100.00,2025-09-13
2022-10-18,61.695.227/0001-93,ELETROPAULO METROPOLITANA EL.S.PAULO S.A,Debênture,ELPLA4,CDI,CDI+,100.00,2025-05-15
2022-10-18,61.695.227/0001-93,ELETROPAULO METROPOLITANA EL.S.PAULO S.A,Debênture,ELPLB4,IPCA,IPCA+,100.00,2026-05-15
2022-10-18,61.695.227/0001-93,ELETROPAULO METROPOLITANA EL.S.PAULO S.A,Debênture,ELPLA5,IPCA,IPCA+,100.00,2031-04-15
2022-10-18,61.695.227/0001-93,ELETROPAULO METROPOLITANA EL.S.PAULO S.A,Debênture,ELPLA6,CDI,CDI+,100.00,2028-10-04
2022-10-18,61.695.227/0001-93,ELETROPAULO METROPOLITANA EL.S.PAULO S.A,Debênture,ELPLA7,IPCA,IPCA+,100.00,2032-04-15
2022-10-18,62.063.177/0001-94,SAFRA LEASING SA ARRENDAMENTO  MERCANTIL,Debênture,SFLS12,CDI,%CDI,100.00,2035-07-01
2022-10-18,62.063.177/0001-94,SAFRA LEASING SA ARRENDAMENTO  MERCANTIL,Debênture,SFLS13,CDI,%CDI,100.00,2036-12-18
2022-10-18,62.063.177/0001-94,SAFRA LEASING SA ARRENDAMENTO  MERCANTIL,Debênture,SFLS14,CDI,%CDI,102.00,2037-07-17
